2024-07-14 02:43:39 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.05 | B_Pres=1014.27 | B_Temp=22.34 | A_Vel=0.00 | B_Vel=-1.77 | F_Vel=0.00 | Cont_A,M=0,0 | accel=766,616,-1001 |
2024-07-14 02:43:40 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.59 | B_Pres=1014.33 | B_Temp=22.36 | A_Vel=0.00 | B_Vel=-1.97 | F_Vel=0.00 | Cont_A,M=0,0 | accel=761,614,-1002 |
2024-07-14 02:43:41 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.17 | B_Pres=1014.27 | B_Temp=22.33 | A_Vel=0.00 | B_Vel=-2.38 | F_Vel=0.00 | Cont_A,M=0,0 | accel=759,618,-1006 |
2024-07-14 02:43:42 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.39 | B_Pres=1014.29 | B_Temp=22.33 | A_Vel=0.00 | B_Vel=0.26 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,618,-1003 |
2024-07-14 02:43:43 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.45 | B_Pres=1014.31 | B_Temp=22.35 | A_Vel=0.00 | B_Vel=-1.02 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,620,-1006 |
2024-07-14 02:43:44 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=0.63 | B_Pres=1014.18 | B_Temp=22.36 | A_Vel=0.00 | B_Vel=2.70 | F_Vel=0.00 | Cont_A,M=0,0 | accel=763,621,-1007 |
2024-07-14 02:43:45 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=0.10 | B_Pres=1014.24 | B_Temp=22.44 | A_Vel=0.00 | B_Vel=-3.30 | F_Vel=0.00 | Cont_A,M=0,0 | accel=761,616,-1002 |
2024-07-14 02:43:46 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.20 | B_Pres=1014.30 | B_Temp=22.47 | A_Vel=0.00 | B_Vel=3.14 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,619,-1006 |
2024-07-14 02:43:47 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.41 | B_Pres=1014.30 | B_Temp=22.47 | A_Vel=0.00 | B_Vel=0.35 | F_Vel=0.00 | Cont_A,M=0,0 | accel=766,621,-1002 |
2024-07-14 02:43:48 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=0.19 | B_Pres=1014.23 | B_Temp=22.44 | A_Vel=0.00 | B_Vel=2.55 | F_Vel=0.00 | Cont_A,M=0,0 | accel=766,621,-1008 |
